Tip Propri;Tip strada;Denumire s;Suprafata ;Suprafata ;Suprafata teren;Pret tranz;Data tranz;Sursa fina,,,,,
Cladire;Alee;MOZAICULUI;41,3700;0,0000;0,0000;351386,1000;06.09.2023;Surse proprii,
Cladire;Alee;MOZAICULUI;56,7000;0,0000;0,0000;397152,0000;30.06.2023;Surse proprii,
Cladire;Alee;MOZAICULUI;57,3000;0,0000;0,0000;338005,0000;19.10.2023;Mixt,
Cladire;Alee;MOZAICULUI;56,5300;0,0000;0,0000;420000,0000;13.04.2022;Surse proprii,
Cladire;Alee;MOZAICULUI;40,7000;0,0000;0,0000;320000,0000;19.09.2023;Surse proprii,
Cladire;Alee;MOZAICULUI;57,2400;0,0000;0,0000;410231,0000;29.11.2023;Surse proprii,
Cladire;Alee;MOZAICULUI;40,5000;0,0000;0,0000;278164,0000;21.03.2023;Mixt,
Cladire;Alee;MOZAICULUI;41,0100;0,0000;0,0000;447801,0000;08.03.2023;Mixt,
Cladire;Alee;MOZAICULUI;56,7200;0,0000;0,0000;148781,6000;15.02.2023;Surse proprii,
Teren;Alee;MOZAICULUI;0,0000;0,0000;7,9100;196000,0000;21.03.2023;Surse proprii,
Cladire;Alee;MOZAICULUI;40,7300;0,0000;0,0000;347735,0000;25.10.2023;Mixt,
Cladire;Alee;OTESANI;64,5000;0,0000;0,0000;323121,1500;21.09.2023;Mixt,
Cladire;Alee;OTESANI;62,1700;0,0000;0,0000;273586,0000;28.09.2023;Surse proprii,
Cladire;Alee;OTESANI;44,9000;0,0000;0,0000;193814,0000;08.11.2023;Surse proprii,
Cladire;Alee;OTESANI;52,5300;0,0000;0,0000;261744,0000;09.11.2023;Surse proprii,
Cladire;Alee;PANTELIMON;26,1500;0,0000;0,0000;123362,5000;25.08.2023;Surse proprii,
Cladire;Alee;PANTELIMON;31,0600;0,0000;0,0000;213628,0000;07.12.2023;Surse proprii,
Cladire;Alee;PANTELIMON;16,2400;0,0000;0,0000;89118,0000;13.07.2023;Surse proprii,
Cladire;Alee;PANTELIMON;16,7100;0,0000;0,0000;67650,0000;23.10.2023;Surse proprii,
